[2023-01-19 22:52:06,661] Register - Step 01: Navigate to 'Register page'
[2023-01-20 07:39:03,356] OS name = windows 11
[2023-01-20 07:39:03,357] Driver instance name = firefoxdriver: firefox on windows (fe31ac0b-170d-457e-919f-33406ed9501d)
[2023-01-20 08:20:27,342] OS name = windows 11
[2023-01-20 08:20:27,343] 
[2023-01-20 08:20:54,972] OS name = windows 11
[2023-01-20 08:20:54,973] 
[2023-01-20 08:21:22,336] OS name = windows 11
[2023-01-20 08:21:22,337] Driver instance name = firefoxdriver: firefox on windows (c762aa81-7c2c-433a-ba7a-049e07b972ad)
[2023-01-20 08:21:49,441] OS name = windows 11
[2023-01-20 08:21:49,442] 
[2023-01-20 08:23:07,519] OS name = windows 11
[2023-01-20 08:23:07,520] Driver instance name = firefoxdriver: firefox on windows (59634385-1b92-4e45-ba5d-807164ad0f52)
[2023-01-20 08:24:32,208] OS name = windows 11
[2023-01-20 08:24:32,209] Driver instance name = chromedriver: chrome on windows (780bcb03de954ab449b5c316bf4c6810)
[2023-01-20 08:26:45,149] Register - Step 01: Navigate to 'Register page'
[2023-01-20 08:26:46,781] Register - Step 02: Enter to First Name textbox with value is 'Mechelle'
[2023-01-20 08:26:46,896] Register - Step 03: Enter to Last name textbox with value is 'Lindgren'
[2023-01-20 08:26:47,966] Register - Step 04: Enter to Email Address textbox with value is 'billy.lind@yahoo.com'
[2023-01-20 08:26:48,125] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-01-20 08:26:48,226] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-01-20 08:26:48,337] Register - Step 07: Click to Register button
[2023-01-20 08:26:49,126] Register - Step 08: Verify register success mesage is displayed
[2023-01-20 08:26:49,252] Login - Step 01: Navigate to 'Home page'
[2023-01-20 08:26:49,627] Login - Step 02: Enter to  Email Address textbox with value is 'billy.lind@yahoo.com'
[2023-01-20 08:26:49,715] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-01-20 08:26:49,803] Login - Step 04: Click to Login button
[2023-01-20 08:26:50,566] Login - Step 05: Verify login success mesage is displayed
[2023-01-20 08:26:50,646] My_Account - Step 01: Navigate to 'My account' page
[2023-01-20 08:26:51,009] My_Account - Step 02: Verify 'Cutomer Infor' page is displayed
[2023-01-20 08:26:51,060] My_Account - Step 03: Verify 'First name' page is displayed
[2023-01-20 08:26:51,119] My_Account - Step 04: Verify 'Last name' page is displayed
[2023-01-20 08:26:51,179] My_Account - Step 05: Verify 'Email' page is displayed
[2023-01-20 08:26:51,248] OS name = windows 11
[2023-01-20 08:26:51,248] Driver instance name = firefoxdriver: firefox on windows (5b408acd-8668-430f-a499-e025963db1a9)
[2023-01-20 08:31:50,543] Register - Step 01: Navigate to 'Register page'
[2023-01-20 08:31:52,006] Register - Step 02: Enter to First Name textbox with value is 'Mai'
[2023-01-20 08:31:52,105] Register - Step 03: Enter to Last name textbox with value is 'Volkman'
[2023-01-20 08:31:53,241] Register - Step 04: Enter to Email Address textbox with value is 'alexander.okon@gmail.com'
[2023-01-20 08:31:53,424] Register - Step 05: Enter to Password textbox with value is '123456'
[2023-01-20 08:31:53,549] Register - Step 06: Enter to Confirm Password textbox with value is '123456'
[2023-01-20 08:31:53,628] Register - Step 07: Click to Register button
[2023-01-20 08:31:54,418] Register - Step 08: Verify register success mesage is displayed
[2023-01-20 08:31:54,546] Login - Step 01: Navigate to 'Home page'
[2023-01-20 08:31:54,958] Login - Step 02: Enter to  Email Address textbox with value is 'alexander.okon@gmail.com'
[2023-01-20 08:31:55,066] Login - Step 03: Enter to Password textbox with value is '123456'
[2023-01-20 08:31:55,148] Login - Step 04: Click to Login button
[2023-01-20 08:31:55,896] Login - Step 05: Verify login success mesage is displayed
[2023-01-20 08:31:55,984] My_Account - Step 01: Navigate to 'My account' page
[2023-01-20 08:31:56,376] My_Account - Step 02: Verify 'Cutomer Infor' page is displayed
[2023-01-20 08:31:56,451] My_Account - Step 03: Verify 'First name' page is displayed
[2023-01-20 08:31:56,532] My_Account - Step 04: Verify 'Last name' page is displayed
[2023-01-20 08:31:56,618] My_Account - Step 05: Verify 'Email' page is displayed
[2023-01-20 08:31:56,691] OS name = windows 11
[2023-01-20 08:31:56,691] Driver instance name = firefoxdriver: firefox on windows (33408ae0-ef8e-434f-88b0-3207386518c2)
